,Day,Min temp,Max temp,Avg temp,Wind speed,Precipitation,Date
0,1,4.9,9.0,6.8,15.4,11.8,2018-01-01
1,2,4.6,8.2,6.2,12.2,4.4,2018-01-02
2,3,6.4,11.2,8.9,26.7,16.6,2018-01-03
3,4,6.4,11.6,8.4,17.2,1.0,2018-01-04
4,5,4.7,9.2,7.2,12.1,7.2,2018-01-05
5,6,0.3,6.1,4.0,4.7,0.2,2018-01-06
6,7,0.3,4.2,1.9,16.4,0.0,2018-01-07
7,8,0.8,4.0,2.1,14.5,0.0,2018-01-08
8,9,1.3,6.3,3.3,5.8,0.0,2018-01-09
9,10,6.2,8.3,7.0,5.6,4.8,2018-01-10
10,11,4.6,7.7,6.1,1.1,0.2,2018-01-11
11,12,4.4,5.6,5.0,1.6,0.0,2018-01-12
12,13,2.2,6.8,4.4,6.3,0.0,2018-01-13
13,14,0.3,5.8,3.2,8.0,0.0,2018-01-14
14,15,0.3,7.6,4.7,15.6,8.6,2018-01-15
15,16,3.1,7.3,5.1,15.1,6.8,2018-01-16
16,17,2.4,5.9,4.3,15.9,2.2,2018-01-17
17,18,2.7,10.8,5.3,19.6,7.2,2018-01-18
18,19,1.3,5.4,3.3,10.8,3.4,2018-01-19
19,20,0.8,3.7,2.1,6.1,2.8,2018-01-20
20,21,1.3,6.2,3.1,7.6,1.8,2018-01-21
21,22,1.8,9.1,6.3,8.9,1.0,2018-01-22
22,23,6.6,10.9,8.3,13.2,0.0,2018-01-23
23,24,8.1,13.8,12.2,19.6,0.6,2018-01-24
24,25,5.8,9.3,7.6,7.9,0.4,2018-01-25
25,26,1.3,7.2,4.6,1.8,0.0,2018-01-26
26,27,3.9,7.7,5.6,11.3,0.4,2018-01-27
27,28,5.4,11.8,9.3,17.4,0.8,2018-01-28
28,29,5.6,10.9,9.7,18.3,3.8,2018-01-29
29,30,0.9,7.0,3.8,5.3,0.2,2018-01-30
30,31,2.9,9.5,6.9,16.3,10.8,2018-01-31
31,1,1.0,5.5,2.8,12.2,1.4,2018-02-01
32,2,2.9,6.6,4.4,10.3,3.6,2018-02-02
33,3,0.3,4.7,2.5,5.6,0.8,2018-02-03
34,4,-0.3,2.5,0.9,10.3,0.0,2018-02-04
35,5,-1.8,3.9,0.8,10.5,0.2,2018-02-05
36,6,-3.6,0.8,-1.8,7.9,0.0,2018-02-06
37,7,-5.3,2.1,-2.4,5.3,0.0,2018-02-07
38,8,-6.9,5.1,-2.3,3.1,0.0,2018-02-08
39,9,-3.1,2.5,-0.4,9.0,0.0,2018-02-09
40,10,0.7,6.7,2.9,9.5,0.4,2018-02-10
41,11,1.2,7.4,3.7,16.7,5.8,2018-02-11
42,12,-1.0,6.1,2.4,10.1,0.2,2018-02-12
43,13,-1.7,7.2,1.5,8.7,0.0,2018-02-13
44,14,-2.8,6.8,1.4,10.1,0.0,2018-02-14
45,15,0.6,9.3,4.0,10.1,6.0,2018-02-15
46,16,-2.3,8.7,2.8,6.4,0.4,2018-02-16
47,17,-3.7,6.6,0.7,2.7,0.0,2018-02-17
48,18,-4.7,8.3,0.3,4.0,0.2,2018-02-18
49,19,-3.1,4.6,0.8,2.9,0.0,2018-02-19
50,20,-3.0,5.2,1.1,3.9,0.0,2018-02-20
51,21,-3.0,4.9,0.4,6.9,0.0,2018-02-21
52,22,-2.4,4.8,0.6,11.6,0.0,2018-02-22
53,23,-2.7,3.3,-0.3,12.1,0.0,2018-02-23
54,24,-3.9,3.2,-0.7,16.3,0.0,2018-02-24
55,25,-4.8,0.9,-2.1,15.9,0.0,2018-02-25
56,26,-5.6,-0.3,-3.4,12.4,0.0,2018-02-26
57,27,-7.6,0.2,-3.9,9.3,0.0,2018-02-27
58,28,-7.6,-3.3,-5.9,15.4,0.0,2018-02-28
59,1,-7.6,0.1,-4.0,23.8,0.0,2018-03-01
60,2,-6.8,-0.3,-3.4,19.6,0.0,2018-03-02
61,3,-3.7,1.1,-1.6,11.7,1.2,2018-03-03
62,4,-1.3,11.2,5.0,7.6,1.0,2018-03-04
63,5,3.1,12.7,6.9,7.4,0.0,2018-03-05
64,6,-0.4,10.8,5.6,4.0,0.0,2018-03-06
65,7,-1.1,9.1,4.6,5.1,0.6,2018-03-07
66,8,1.1,8.0,4.9,13.8,1.6,2018-03-08
67,9,1.7,11.2,6.2,8.2,2.2,2018-03-09
68,10,7.3,15.5,11.1,7.4,4.6,2018-03-10
69,11,6.2,16.6,10.8,7.2,0.8,2018-03-11
70,12,7.6,14.4,10.2,8.2,2.2,2018-03-12
71,13,4.0,8.7,6.1,11.3,8.0,2018-03-13
72,14,0.2,12.1,6.4,7.4,0.0,2018-03-14
73,15,3.2,11.7,7.3,11.7,3.4,2018-03-15
74,16,0.4,6.9,4.7,10.6,6.8,2018-03-16
75,17,-2.7,0.4,-1.7,22.7,0.0,2018-03-17
76,18,-2.7,0.3,-1.3,20.4,0.0,2018-03-18
77,19,-3.8,4.1,-0.3,13.0,0.0,2018-03-19
78,20,-3.5,9.1,3.2,10.1,0.6,2018-03-20
79,21,-0.1,7.8,3.3,5.3,0.0,2018-03-21
80,22,2.6,8.9,5.8,10.9,2.2,2018-03-22
81,23,4.9,7.3,6.1,10.6,0.0,2018-03-23
82,24,2.4,12.6,6.9,4.0,0.0,2018-03-24
83,25,-1.7,13.5,6.3,3.7,0.0,2018-03-25
84,26,0.5,11.1,5.1,4.0,0.0,2018-03-26
85,27,0.3,10.2,5.1,5.3,3.6,2018-03-27
86,28,3.2,8.4,6.5,7.9,12.4,2018-03-28
87,29,3.7,10.4,6.2,7.9,0.2,2018-03-29
88,30,4.6,14.7,8.9,8.0,4.4,2018-03-30
89,31,2.1,12.7,7.3,4.2,4.8,2018-03-31
90,1,1.7,7.6,5.4,5.0,3.4,2018-04-01
91,2,0.4,13.4,7.3,6.6,0.6,2018-04-02
92,3,8.9,17.9,12.7,13.5,0.2,2018-04-03
93,4,6.7,14.4,10.3,9.0,3.6,2018-04-04
94,5,0.4,9.7,7.3,12.6,3.6,2018-04-05
95,6,0.3,15.8,7.9,9.2,0.0,2018-04-06
96,7,6.9,23.5,14.2,7.4,0.0,2018-04-07
97,8,7.5,24.9,15.7,2.3,0.0,2018-04-08
98,9,10.0,17.6,14.0,8.2,0.0,2018-04-09
99,10,10.6,19.3,14.9,6.0,18.0,2018-04-10
100,11,9.1,14.8,12.2,2.9,2.6,2018-04-11
101,12,8.2,15.3,11.2,6.9,0.2,2018-04-12
102,13,4.3,15.1,10.3,3.2,0.0,2018-04-13
103,14,6.2,17.5,12.1,2.9,0.0,2018-04-14
104,15,10.2,17.9,13.9,4.8,3.4,2018-04-15
105,16,6.9,16.6,12.8,6.1,0.0,2018-04-16
106,17,3.7,21.8,12.8,5.1,0.0,2018-04-17
107,18,5.4,26.0,16.2,3.2,0.0,2018-04-18
108,19,9.7,29.2,19.8,5.8,0.0,2018-04-19
109,20,9.7,27.7,19.5,5.6,0.0,2018-04-20
110,21,10.1,22.8,16.2,4.5,0.0,2018-04-21
111,22,12.1,27.3,18.2,5.6,3.6,2018-04-22
112,23,10.6,17.3,14.5,10.8,0.0,2018-04-23
113,24,8.6,15.4,11.9,12.4,0.0,2018-04-24
114,25,9.9,14.4,12.7,13.5,0.2,2018-04-25
115,26,5.7,14.3,10.5,13.2,5.6,2018-04-26
116,27,1.9,17.3,10.5,3.5,0.2,2018-04-27
117,28,10.7,15.9,12.9,8.0,0.4,2018-04-28
118,29,5.1,15.4,10.6,5.0,9.8,2018-04-29
119,30,5.4,14.7,10.1,11.1,28.2,2018-04-30
120,1,5.4,13.6,8.9,16.1,8.6,2018-05-01
121,2,4.1,17.8,11.6,9.8,0.0,2018-05-02
122,3,6.2,15.9,11.8,6.0,0.0,2018-05-03
123,4,3.3,18.7,11.9,4.2,0.0,2018-05-04
124,5,7.1,22.1,15.2,7.1,0.0,2018-05-05
125,6,9.2,25.7,18.0,6.4,0.0,2018-05-06
126,7,10.6,25.7,18.7,4.7,0.0,2018-05-07
127,8,10.4,28.5,20.1,4.0,0.0,2018-05-08
128,9,10.3,27.4,18.9,5.3,0.0,2018-05-09
129,10,8.6,17.7,13.2,9.7,6.0,2018-05-10
130,11,3.6,20.2,12.5,3.2,0.0,2018-05-11
131,12,7.4,24.2,17.2,4.0,0.0,2018-05-12
132,13,11.3,17.1,13.9,7.2,3.4,2018-05-13
133,14,11.2,25.6,17.4,6.6,0.0,2018-05-14
134,15,11.3,24.3,19.2,5.5,0.0,2018-05-15
135,16,12.1,21.7,16.0,8.0,0.4,2018-05-16
136,17,7.8,16.9,12.1,8.7,0.0,2018-05-17
137,18,6.7,16.2,11.1,5.8,0.0,2018-05-18
138,19,5.6,15.3,10.8,3.1,0.0,2018-05-19
139,20,6.2,24.4,15.7,4.5,0.0,2018-05-20
140,21,12.3,25.7,19.2,7.6,0.2,2018-05-21
141,22,11.7,24.8,17.2,3.9,11.6,2018-05-22
142,23,14.7,24.1,18.4,5.6,3.2,2018-05-23
143,24,14.7,22.9,18.1,7.7,0.0,2018-05-24
