,objectid,code,X,Y,lat,long
26,138,251N,182284.574999999,396646.940000001,51.55810802811052,5.78064771801956
47,20,211A,158086.576000001,408083.478999998,51.66156030560481,5.431811965581218
85,58,211M,172248.624899998,402671.740200002,51.61265980892065,5.636227189504426
96,69,251T,186422.291999999,393408.272,51.52878146097614,5.840022004144531
245,221,211E,161490.153999999,408290.291000001,51.663390084628,5.481007667562493
247,248,114DCS,189162.563999999,401014.162000001,51.59698588939069,5.88025229656553
279,347,114CKS,187447.789000001,399016.228,51.57912955038464,5.85531924611371
300,368,211J,169695.763,405932.816,51.6420446908024,5.599508088585602
386,441,211C,159709.081,408154.329999998,51.66218583214433,5.455262966104078
394,449,248K,179457.113000002,400335.355999999,51.59139137422606,5.740134023278059
395,450,251O,182719.142000001,395979.940000001,51.552091475769565,5.786861288917031
397,372,211N,172617.188000001,402110.602000002,51.60760456737325,5.641519930851788
432,407,251NC,182448.988000002,396227.938999999,51.55433385912084,5.782985678402356
444,419,114CHS,186978.940000001,398685.421999998,51.576183047810346,5.848525228725891
459,460,108GAR,182609.149,413280.774,51.70760313616152,5.78664437406101
516,487,211D,160587.225000002,408201.34,51.662600296600935,5.467955695691933
525,496,251JF,181337.528000001,398865.162999999,51.57809157191875,5.767158406560156
526,497,251U,186964.816,393088.875999998,51.52588002856945,5.8478108718921975
567,568,108KAM,180988.57,414430.673,51.718016427204674,5.763284736542479
614,680,104OYE,163696.374000002,422936.513,51.7950068030061,5.513262594395786
660,628,211K,170227.692000002,405041.260000002,51.634016748681645,5.607153758587047
749,820,103BIC,163282.636999998,422546.498,51.79150750179216,5.507255837419446
871,834,104B,170091.752999999,421879.732000001,51.78537169749373,5.605921759921841
918,881,104FVW,174143.416999999,420123.706,51.76946367849527,5.6645434628619045
924,887,103KAS,161049.122000001,418531.778000001,51.75545028861494,5.474811717421358
1129,1188,108HOO,189689.467,407035.793000002,51.651077620466744,5.888454970290768
1130,1189,211I,168848.396000002,407577.228,51.65684704814741,5.587331793706558
1131,1190,211L,171519.607700001,403966.0449,51.62431560399353,5.625763409277156
1132,1191,108WAN,186248.031,409086.504000001,51.66971249017196,5.838912644198188
1165,1138,108IJZ,185454.397,409839.964000002,51.676528528629134,5.827506372919188
1167,1140,108PAP,188705.546999998,407319.916000001,51.65369143885918,5.874265567607781
1256,1227,251Q,183550.031,395037.980999999,51.54358315145475,5.798764166592942
1351,1322,108HOL,184773.877999999,410843.765999999,51.685587597386615,5.817753685657633
1400,1401,108XS,190009.778000001,406553.888,51.64672621985926,5.893034810539892
1446,1504,108LAA,188163.406,407736.804000001,51.657470890073206,5.866471264115097
1486,1459,211F,164195.471999999,406983.989999998,51.65161047609587,5.5200746083187635
1545,1599,248KA,179843.875599999,399312.6712,51.58218205023516,5.745642504237511
1577,1555,114DDS,187897.122000001,400078.375,51.5886503343173,5.861901373278835
1618,1619,108HUL,187298.699000001,408348.806000002,51.6630222519244,5.854031861931142
1706,1676,211B,158641.509,408452.162999999,51.66487088414626,5.4398362702186525
1708,1678,211G,165616.4811,406637.078899998,51.64846712374996,5.540597299469403
1741,2153,251JE,180502.576000001,399260.052000001,51.5816795502343,5.755142044265577
1749,2161,104FKW,176859.241999999,418640.741,51.75603460292305,5.703795051954577
1752,2164,211H,166236.883000001,406573.941,51.64788750359825,5.5495593061342
1802,1746,104FCW,178757.725000001,419052.658,51.75965951420576,5.731319045669085
1816,2200,103DT1,162060.546100002,420112.068100002,51.76964270440484,5.489492425005349
2105,1906,114DET,189787.605999999,401836.897999998,51.60434248346826,5.8893547779538755
2149,1950,114CMS,187658.32,399313.964000002,51.58179349673372,5.858384232941626
2246,2047,114CZS,188685.839000002,400424.438999999,51.59171409176863,5.8733153805374565
2252,2053,114DES,189553.631999999,401567.109000001,51.60193199850254,5.885950846573903
2301,2102,103GEW,162299.997000001,420417.199000001,51.772382261352575,5.492967924247792
2336,2137,103BIB,163803.103999998,422964.649,51.795258024782996,5.5148104379382925
