﻿
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Begin,Eind,Kwaliteit,Lekerstraat,11. Speelweide/Vlinkert,Rips,Handel,14. Koolhof,13. Heiakker,Vlierden,Helenaveen,Heusden,Liender/Loverbosch-noord,Oliemolen/ind. Hoogveld,De Loove,Someren-Heide,Heeswijk-Dinther,Nistelrode-centrum,07 Kern,Geb. 15 Veemarktkwartier NW.,Geb. 11 Orthen/Ertveld,Sportpark de Vliert(Sportiom),Ledeacker,Boterbloem,De Bergen,Oeffelt kom,12 Wijbosch,4 Plein,geb. 4 Brugse Berg,St. Agatha,Zoetsmeerweg,Kastanjelaan,Groenewoud,Diosite,gebied F; Maliskamp,gebied E; Elst,geb. A  IJzerkampen,Herpen,Lithoijen,Havenweg,Woonwagencentrum,Station-Oost,38. Brandevoort_De Brand,19. Bloem en Paardeveld,Kemenade-Eewsels(161718),Voorbeemd,Kom,15. St. Jozef-west,25. Deurne-west,11. Walsberg,12. Centrum+Vogelweide/Meimortel,Neerkant,Vorstenbosch,Geb. 21 Kruiskamp,Geb. 9 Orthen-Noord / Schanswetering,Geb. 2 Aa-wijk,Molenveld,St. Anthonis,Boekel,Kraaijendonk I,Landhorst,Molenakker I Beeke,De Leest,geb. 50 Kern,Wilbertoord,geb 1. Domeinen  + ind.,geb. 2 Bejaardencentrum,Oventje,Linden,Heeswijkse Kampen-noord,Vlijmen kern,Haarsteeg,Stationsstraat-noord,Elshout,De Geer-oost,De Weem,Veerkamp,gebied P; Brabantpoort,gebied A; t Ven+centrum,gebied 27; Empel-noord,Gebied 5; Centraal,Teeffelen,Escharen,Bedrijventerrein,Maasdijk,Volkel,Vijfhuis / Bogerd-Noord,04. Ganzewinkel-oost,Beekplan 1,Mariahout,4. Gebied E,12. Kom,Binnenveld,Kom / Loverbosch-zuid,Dorp II,Lage Akkerweg,Lierop,Heilaren-noord,Meerstraat,08 Vinkelsestraat,02 Heelwijk,05 Broekhoek,06 De Groes/Cereslaan,Geb. 18 Moerputten / Deutersestraat,Geb. 19 Deuteren / Oud Deuteren,geb. 6c Carolushof,Geb. 7 De Vliert,Wanroij,Erp (noord/zuid),Eerde,Dubbelen I,Zuid,Boxmeer oost,geb. 52 Molenweg,Boxmeer noord,Groeningen-west,Groeningen,Maashees onderbemaling,Vortum Mullem,16+17 Duin II-zuid,9+10 Boschweg,geb. 5a Mill-zuid,Beers-west,Sapa,Heesbeen,De Geer,Huisseling,gebied D; Hondsberg-zuid,gebied 27; Empel-oost,gebied 10; Rijksweg,gebied 4; t Zand,gebied 1; Kern,geb. B  De Gaffel,Lith,Maren Kessel,Zittert,41. Bloem en Paardeveld,34. De Weijer,Griensven/Vlierbloem,Centrum(1415202124),4A. Breukrand,1. Westom,Milheeze,Elsendorp,13. Heiakker,Hazeldonk/Campinaterrein,Someren-noord,Dorp I,Kleinwijk,geb. 17 Buys Ballotweg,Geb. 26 Maasoever,Geb. 24 De Herven,Geb. 10 Ertveld,Geb. 6a Redemptoristenpad A,Geb. 3 Hinthammerpoort,Geb. 1 Zuid,Zandseveld,Oploo,De Punt,De Amert,Beukelaar,t Ven,Maashoeve,Geb. 11 Orthen,Geb. 6d Hofstad,Geb. 5 Muntel,Steenoven,Vlaskamp IV,De Schil-noord,Rudebroeck,Scheifelaar I,Centrum-oost,Holthees,Beugen,geb. 3 Kern,St. Hubert,De Schans,Aalsvoorten,Nieuwkuijk-industrie,Nieuwkuijk,Herpt,Lamoenhof,Ussen,Haren,gebied K; Hintham,gebied 6; Past. Winkelstr,gebied 2; Zuid,gebied F; Papendijk,t Wargaren,Mars,De Oude Molen,Doornhoek,put Middengaal,Jan Sluyterstraat,Beugenseweg,Molenakker I Bussele,16. St. Jozef-oost,10. Scheiweg/Wolfsveld,28. Kanaaldijk-zo,25. Braaksestraat,31. Akkers II,gebied 3; Bruinsteeg,Het Hoog 2,Bezuidenhout,Geb. 6b Redemptoristenpad B,t Vaartje,Opstal-noord,Westerbroek,Brouwerstraat,De Hoeve,Havenoord,Someren-Eind,Loosbroek,01 De Hoef,Geb.20 Schutskamp / Nieuw Deuteren,Geb. 22 Rietvelden-oost,Geb. 8 Orthenpoort,onderbemaling W3,Keldonk,Boerdonk,Sambeek,Maashees kern,Overloon kern,2 Hoofdstraat/Europalaan,Grootven II,Kern/Melkpad,De Logt,Kern/Kreitsberg,Vianen,Padbroek,Stationsstraat-zuid,Hedikhuizen,Luttelherpt,Oudheusden,Kern/Schadewijk/Mettegeupel gem,Demen,Middengebied,gebied L; Kloosterstraat,GW- Waterbuurt,gebied C2; overlaet C2,Reek,gebied D; Kom Geffen,Overlangel,Berghem,Oijen,Dennenburg,Esterveld,Vlonder-noord,De Stoof,Zorginstelling,Maaspoort-bedrijven,Oud Empel,Schuurkerkpad,Vlonder West,Vlaskamp III,Helmond-w/NW (691011),Vinkel-kom gbied I,Noordwest(Schutsstraat),Broekeling,14. Hagelkruis,De Mortel,ind. Nobisweg,Geb. 26 Maaspoort,Geb. 19 Deuteren,Geb. 13 Binnenstad-zuid,Geb. 14 Het Zand,Centraal riool,Stevensbeek,Westerbeek,Mariaheide,Zijtaart,Boxmeer zuid,Rijkevoort,18 Beemd-noord,Katwijk,Heusden-vesting,Liesdaal,Wilgendaal,Stadskern,gebied G; Sparrenburg,gebied H; Molenhoek,gebied B; Centrum-zuid,gebied E; Overlaet E,gebied 7/8; Louwstraat,Fazantenveld,26. Bakelsedijk-oost,32. Schooten,08. Stiphout,30. Akkers I,13. Bedr. Hoogeind,Kom / Maaskantje,Revershof,Over de Brug,Kom-zuid+Duivenakker,5. Molenbroek,Saxe Gotha,Het Looi,8 Borne,1 Hoevenbraak,05+06 Centrum/Beemd,Cuijk-haven,Beethovenlaan/Venne West,Elzenburg-zuid,Maaskade,Ruwaard,De Bulk,Berghem-Zuid,23. Brouwhuis,Meerven,Laarsche Velden,Woonwagencentrum,2. Paashoef,3. Gebied D,13. Groenveld,14. Zeilberg,Moorveld,Liessel,Ommel,Logtenstraat,Waterdael,De Hoef,Elzenburg-noord,35. Brandevoort_De Veste,Centrum+Zoggel-oost,37. Brandevoort_Stepekolk,07. Groot Schoten,12. Kanaaldijk-zw,29. Dierdonk,Spurkstraat,Beekveld,Nieuwenhof / De Eg,Opstal + Kom-noord,6. Pandelaar,18. Ind. Leembaan,17. Ind. Leembaan,26. Binderen-noord,Odiliapeel,Sluis XI(bedrijventerrein),Ostade,Bergingsleiding Gaasseweg,Someren-Boerenkamplaan,03 t Rul,Bokhoven,Geb. 30 Engelen,Geb. 19 Deuteren,Geb. 23 Rietvelden-west,Geb. 25 Noord(Rompert),Geb. 6 Binnenstad-noord,Vogelzang,Bosberg,Venhorst,NCB-Laan,West,geb. 51 Vlasakker,Maasbroeksche Blokken,Langenboom,Beers-oost,Haps,Centrum,Dillenburg,Stuwgebied,Megen,gebied J; Kruisstraat,gebied O; Hintham-noord,gebied C1; Hondberg-noord,gebied 27; Empel-kern,Wolfsveld-Raam,Sluizencomplex,Hoeven,05. Apostelhuis/Kroon/Krollaan,02. Barrier,22. Rijpelberg,Coudewater,Vinkelsestraat gebied J,Kom,Valuwe,31+32 Hulzebraak,RG Slievenpark,Geb. 17 Boschveld-Noord,Geb. 16 Boschveld-zuid,Hoenderbos/Velmolen(zuid),De Rips IV,Poeldonkweg,Het Hoog 1,Mettegeupel,Generaal De Bonskazerne,39. Marshallweg,TCOB,Zevenbergseweg,Geb. 6e Brede Haven,Dooleggen,Saxe Gotha vgs,Sportlaan/Hoge Schijf,Nieuwe Hoeven,1 en 3 Ashorst en Mierlo-Hout,Zoggel-west(incl. Nonnenveld),Loopkant - Liessent,Vluchtoord,Nieuw Velp,Oude kern,gebied G; ind. Heesterseweg,Macharen,Langakker,Gemeentewerf,Beijerd en t Riet,14+15 Duin I rwa,04 Meurs en Maas,Geb. 30 Hoogveld,Zwembad,Appelbuurt / wonen Nobisweg,24+25 Duin III-zuid,Meeuwaert,Abtshof,Geb. 4 Munteltuinen,Deursen,Everdrift,Suezlaan,Zandkant,geb. 5b Mill-west,Stationssingel,33. BZOB,27. Rijpelberg,Vlinderveld/Voordeldonk-noord,ind. Goorkens,Gassel,De Meent,Ooivaarsrijt,de Brand,Bitswijk,de Geer-zuid,De Hoeven(Haarsteeg),11+19 Grevekeur,CHV-terrein,Geb. 12 Vughterpoort,Heusdenseweg(Haarsteeg),Bosscheweg
30-06-2019 22:00:00,30-06-2019 23:00:00,HydroNET D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-06-2019 23:00:00,01-07-2019 00:00:00,HydroNET D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-07-2019 00:00:00,01-07-2019 01:00:00,HydroNET D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-07-2019 01:00:00,01-07-2019 02:00:00,HydroNET D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-07-2019 02:00:00,01-07-2019 03:00:00,HydroNET D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-07-2019 03:00:00,01-07-2019 04:00:00,HydroNET D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-07-2019 04:00:00,01-07-2019 05:00:00,HydroNET D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-07-2019 05:00:00,01-07-2019 06:00:00,HydroNET D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
