"","Meetpunt.identificatie","Waterloop","geometry"
"1","B45H0239-001","Leijgraaf","5.6242861393488,51.6168846438004"
"2","B45G0273-001","Leijgraaf","5.59192585308655,51.6641447317124"
"3","B45F0281-001","Raam","5.71156660137381,51.7516472649295"
"4","B46C0161-001","Raam","5.80733503569931,51.6721985805476"
"5","B46C0162-001","Raam","5.7881412755294,51.6955463690245"
"6","HORA002_G","Raam","5.72252688364647,51.7279136997909"
"7","B46C0253-001_ruw","Peelkanaal","5.77848210319661,51.6139534517224"
"8","B45E0173-001_ruw","Osse Aanvoersloot","5.48610858394375,51.776062730846"
"9","B46C0207-001","Strijpse Beek","5.88580676767573,51.5909653972694"
"10","B52A0217-001_ruw","Peelse Loop","5.79328712069056,51.5614540516544"
"11","B46C0253-001","Peelkanaal","5.77848210319661,51.6139534517224"
"12","B45E0173-001","Hertogswetering","5.48610858394375,51.776062730846"
"13","B52A0217-001","Peelse Loop","5.79328712069056,51.5614540516544"
