"","Name","Date","Waterloop","values","RightClassBreak-1","RightClassBreak-2","RightClassBreak-3","RightClassBreak-4","RightClassBreak-5","Klasse"
"1","B45E0173-001",2018-01-01,"Hertogswetering",3.18295833333333,NA,NA,NA,NA,NA,NA
"2","B45E0173-001",2018-01-02,"Hertogswetering",3.21429166666667,NA,NA,NA,NA,NA,NA
"3","B45E0173-001",2018-01-03,"Hertogswetering",3.27166666666667,NA,NA,NA,NA,NA,NA
"4","B45E0173-001",2018-01-04,"Hertogswetering",3.25720833333333,NA,NA,NA,NA,NA,NA
"5","B45E0173-001",2018-01-05,"Hertogswetering",3.1925,NA,NA,NA,NA,NA,NA
"6","B45E0173-001",2018-01-06,"Hertogswetering",3.20958333333333,NA,NA,NA,NA,NA,NA
"7","B45E0173-001",2018-01-07,"Hertogswetering",3.156125,NA,NA,NA,NA,NA,NA
"8","B45E0173-001",2018-01-08,"Hertogswetering",3.13841666666667,NA,NA,NA,NA,NA,NA
"9","B45E0173-001",2018-01-09,"Hertogswetering",NA,NA,NA,NA,NA,NA,NA
"10","B45E0173-001",2018-01-10,"Hertogswetering",3.09075,NA,NA,NA,NA,NA,NA
"11","B45E0173-001",2018-01-11,"Hertogswetering",3.05758333333333,NA,NA,NA,NA,NA,NA
"12","B45E0173-001",2018-01-12,"Hertogswetering",3.049,NA,NA,NA,NA,NA,NA
"13","B45E0173-001",2018-01-13,"Hertogswetering",3.04158333333333,NA,NA,NA,NA,NA,NA
"14","B45E0173-001",2018-01-14,"Hertogswetering",3.03141666666667,NA,NA,NA,NA,NA,NA
"15","B45E0173-001",2018-01-15,"Hertogswetering",3.03395833333333,NA,NA,NA,NA,NA,NA
"16","B45E0173-001",2018-01-16,"Hertogswetering",3.03325,NA,NA,NA,NA,NA,NA
"17","B45E0173-001",2018-01-17,"Hertogswetering",3.05745833333333,NA,NA,NA,NA,NA,NA
"18","B45E0173-001",2018-01-18,"Hertogswetering",3.110375,NA,NA,NA,NA,NA,NA
"19","B45E0173-001",2018-01-19,"Hertogswetering",3.13520833333333,NA,NA,NA,NA,NA,NA
"20","B45E0173-001",2018-01-20,"Hertogswetering",3.163375,NA,NA,NA,NA,NA,NA
"21","B45E0173-001",2018-01-21,"Hertogswetering",3.11579166666667,NA,NA,NA,NA,NA,NA
"22","B45E0173-001",2018-01-22,"Hertogswetering",3.096625,NA,NA,NA,NA,NA,NA
"23","B45E0173-001",2018-01-23,"Hertogswetering",3.08833333333333,NA,NA,NA,NA,NA,NA
"24","B45E0173-001",2018-01-24,"Hertogswetering",3.08666666666667,NA,NA,NA,NA,NA,NA
"25","B45E0173-001",2018-01-25,"Hertogswetering",3.063,NA,NA,NA,NA,NA,NA
"26","B45E0173-001",2018-01-26,"Hertogswetering",3.032375,NA,NA,NA,NA,NA,NA
"27","B45E0173-001",2018-01-27,"Hertogswetering",3.0145,NA,NA,NA,NA,NA,NA
"28","B45E0173-001",2018-01-28,"Hertogswetering",3.00945833333333,NA,NA,NA,NA,NA,NA
"29","B45E0173-001",2018-01-29,"Hertogswetering",3.01375,NA,NA,NA,NA,NA,NA
"30","B45E0173-001",2018-01-30,"Hertogswetering",3.010625,NA,NA,NA,NA,NA,NA
"31","B45E0173-001",2018-01-31,"Hertogswetering",3.03129166666667,NA,NA,NA,NA,NA,NA
"32","B45E0173-001",2018-02-01,"Hertogswetering",3.07733333333333,NA,NA,NA,NA,NA,NA
"33","B45E0173-001",2018-02-02,"Hertogswetering",3.06179166666667,NA,NA,NA,NA,NA,NA
"34","B45E0173-001",2018-02-03,"Hertogswetering",3.07541666666667,NA,NA,NA,NA,NA,NA
"35","B45E0173-001",2018-02-04,"Hertogswetering",3.034125,NA,NA,NA,NA,NA,NA
"36","B45E0173-001",2018-02-05,"Hertogswetering",3.02329166666667,NA,NA,NA,NA,NA,NA
"37","B45E0173-001",2018-02-06,"Hertogswetering",3.022875,NA,NA,NA,NA,NA,NA
"38","B45E0173-001",2018-02-07,"Hertogswetering",2.99770833333333,NA,NA,NA,NA,NA,NA
"39","B45E0173-001",2018-02-08,"Hertogswetering",2.98583333333333,NA,NA,NA,NA,NA,NA
"40","B45E0173-001",2018-02-09,"Hertogswetering",2.982875,NA,NA,NA,NA,NA,NA
"41","B45E0173-001",2018-02-10,"Hertogswetering",2.97879166666667,NA,NA,NA,NA,NA,NA
"42","B45E0173-001",2018-02-11,"Hertogswetering",2.99533333333333,NA,NA,NA,NA,NA,NA
"43","B45E0173-001",2018-02-12,"Hertogswetering",2.97429166666667,NA,NA,NA,NA,NA,NA
"44","B45E0173-001",2018-02-13,"Hertogswetering",2.98683333333333,NA,NA,NA,NA,NA,NA
"45","B45E0173-001",2018-02-14,"Hertogswetering",2.975,NA,NA,NA,NA,NA,NA
"46","B45E0173-001",2018-02-15,"Hertogswetering",2.97391666666667,NA,NA,NA,NA,NA,NA
"47","B45E0173-001",2018-02-16,"Hertogswetering",2.972,NA,NA,NA,NA,NA,NA
"48","B45E0173-001",2018-02-17,"Hertogswetering",2.98475,NA,NA,NA,NA,NA,NA
