"","date","1976","2018","2019","huidig_jaar","mediaan","5"
"1",2021-01-01,-8.4,-9.2,-0.6,-0.1,-0.3,0.38
"2",2021-01-02,-13.9,-14.1,-0.2,-0.1,-2.6,0.4
"3",2021-01-03,-14.2,-25.3,0.2,0.1,-5.4,0.939999999999999
"4",2021-01-04,-13.7,-26.3,0.4,-0.5,-7.8,0.98
"5",2021-01-05,-33.2,-31.1,-0.7,-0.3,-8.4,1.16
"6",2021-01-06,-34.3,-30.9,-0.3,-0.1,-10.9,1.44
"7",2021-01-07,-34.3,-30.5,-3.9,-4.6,-12.1,1.3
"8",2021-01-08,-34.1,-30.2,-4.5,-5.6,-15.4,1.33999999999999
"9",2021-01-09,-34.1,-29.8,-4.4,-5,-16.3,1.53999999999999
"10",2021-01-10,-39.7,-32.7,-4.7,-4.6,-20.3,1.73999999999999
"11",2021-01-11,-43.2,-32.4,-5.6,-5.5,-24.1,-0.380000000000005
"12",2021-01-12,-43.1,-32.3,-9.7,-17.2,-28.7,-0.180000000000005
"13",2021-01-13,-45.6,-32.2,-16,-17.1,-29.2,-0.500000000000002
"14",2021-01-14,-49.6,-31.7,-17.9,-16.8,-31.7,-0.320000000000001
"15",2021-01-15,-50.4,-38.3,-17.7,-16.7,-33,-1.14
"16",2021-01-16,-50.4,-42.5,-20,-18,-32.5,-2.02
"17",2021-01-17,-49.9,-48.4,-23.6,-20.9,-32,-3.50000000000001
"18",2021-01-18,-49.6,-57.9,-23.1,-21.2,-32.2,-2.94000000000001
"19",2021-01-19,-49.9,-61.7,-22.6,-32.8,-35.7,-5.16
"20",2021-01-20,-55.4,-63.5,-22.1,-32.3,-37.7,-5.80000000000001
"21",2021-01-21,-55.3,-64.4,-21.5,-40.3,-39.1,-6.86000000000001
"22",2021-01-22,-58.1,-64.8,-25.3,-43.7,-42,-6.78000000000001
"23",2021-01-23,-62.8,-64.5,-24.9,-45.7,-43.8,-10.06
"24",2021-01-24,-63.1,-65.1,-24.7,-47.9,-44.2,-10.26
"25",2021-01-25,-63.8,-64.9,-26.3,-50.2,-46.9,-10.08
"26",2021-01-26,-63.7,-64.4,-26.8,-52,-47,-9.58
"27",2021-01-27,-64.8,-64.5,-31.1,-53.3,-47.7,-11.5
"28",2021-01-28,-64.3,-65.2,-34.6,-67.3,-48.6,-11.58
"29",2021-01-29,-63.8,-68.8,-34,-80.3,-48.1,-11.04
"30",2021-01-30,-63.3,-68.2,-34.5,-80.4,-48.8,-10.84
"31",2021-01-31,-62.9,-79.2,-34.3,-79.9,-48.5,-10.3
"32",2021-02-01,-62.5,-79.9,-36.3,-79.8,-51.3,-10.16
"33",2021-02-02,-62.3,-83.6,-40.3,-89.6,-52.3,-10.04
"34",2021-02-03,-62.2,-83.2,-39.6,-101.4,-57.1,-10.14
"35",2021-02-04,-62,-83.4,-39.8,-100.7,-56.3,-9.84000000000001
"36",2021-02-05,-61.8,-82.6,-39.6,-102.5,-61.8,-15.46
"37",2021-02-06,-61.2,-82.1,-45.6,-109.8,-61.2,-14.78
"38",2021-02-07,-61,-81.3,-47.5,-119.6,-61,-14.02
"39",2021-02-08,-60.7,-80.4,-49.6,-121.1,-60.7,-15.08
"40",2021-02-09,-60.4,-79.8,-49.2,-120.5,-60.4,-14.8
"41",2021-02-10,-62.2,-80.4,-72.9,-119.9,-72.9,-17.68
"42",2021-02-11,-63.6,-82.9,-72.5,-119.6,-79.1,-18.58
"43",2021-02-12,-67.5,-82,-71.9,-118.7,-79.4,-20.86
"44",2021-02-13,-70.5,-81,-71.5,-117.9,-78.7,-22.14
"45",2021-02-14,-70.2,-79.9,-70.4,-120.9,-79.9,-21.82
"46",2021-02-15,-69.8,-84.5,-69.2,-139.9,-82.1,-28.94
"47",2021-02-16,-69.3,-83.4,-68,NA,-81.5,-30.18
"48",2021-02-17,-69.1,-82.7,-66.8,NA,-80.6,-30
"49",2021-02-18,-68.3,-81.7,-65.5,NA,-80.3,-30.98
"50",2021-02-19,-67.3,-81.2,-64.5,NA,-81.2,-35.96
"51",2021-02-20,-66.4,-80.5,-63.5,NA,-80.5,-35.14
"52",2021-02-21,-65.7,-79.5,-64.8,NA,-79.5,-34.52
"53",2021-02-22,-64.7,-78.3,-64.4,NA,-81.8,-34.36
"54",2021-02-23,-63.8,-77.2,-63,NA,-80.8,-34.02
"55",2021-02-24,-63.7,-76.1,-61.5,NA,-81,-33.18
"56",2021-02-25,-63.1,-74.9,-59.9,NA,-81.6,-32.32
"57",2021-02-26,-62.6,-74.1,-58.3,NA,-81.4,-30.88
"58",2021-02-27,-62,-73.1,-56.6,NA,-83.6,-32.34
"59",2021-02-28,-60.7,-72.1,-55.8,NA,-82.6,-31.48
"60",2021-03-01,-61.8,-71.3,-56.4,NA,-86.9000000000001,-31.06
"61",2021-03-02,-60.5,-70.6,-56.1,NA,-85.9000000000001,-30.36
"62",2021-03-03,-59,-70.5,-61.3,NA,-84.9000000000001,-31.66
"63",2021-03-04,-57.5,-70.8,-63.8,NA,-90.0000000000001,-32.06
"64",2021-03-05,-56.1,-69.3,-63.6,NA,-91.4000000000001,-31.54
"65",2021-03-06,-54.9,-68.3,-63.5,NA,-91.9,-30.52
"66",2021-03-07,-54.2,-69.9,-70.8,NA,-91.5,-29.88
"67",2021-03-08,-53.2,-71.2,-72.6,NA,-90.1,-31.42
"68",2021-03-09,-52,-72.9,-76,NA,-92.7,-29.84
"69",2021-03-10,-51.3,-75.3,-87.1,NA,-94,-29.94
"70",2021-03-11,-50.3,-74.7,-87.6,NA,-98.5000000000001,-29.44
"71",2021-03-12,-50.2,-75.1,-88.7,NA,-96.8,-35.56
"72",2021-03-13,-51.7,-82.1,-100.3,NA,-100.7,-39.08
"73",2021-03-14,-50,-80.3,-107.4,NA,-100.2,-38.94
"74",2021-03-15,-54.1,-82.5,-111.7,NA,-99.8,-45.26
"75",2021-03-16,-53.8,-83.6,-115,NA,-99.4,-43.92
"76",2021-03-17,-57.5,-84.3,-119.4,NA,-98.5,-43.22
"77",2021-03-18,-56.9,-83.7,-119.9,NA,-97.4,-42.4
"78",2021-03-19,-55.6,-82,-118.2,NA,-99.6,-42.3
"79",2021-03-20,-53.7,-80.5,-117.2,NA,-102.7,-44.16
"80",2021-03-21,-52,-79.4,-115,NA,-102.1,-44.8000000000001
"81",2021-03-22,-50.3,-81.2,-112.8,NA,-104,-43.5400000000001
"82",2021-03-23,-48.6,-80.5,-112.1,NA,-103.5,-41.6400000000001
"83",2021-03-24,-47,-78.6,-109.9,NA,-104.9,-39.7000000000001
"84",2021-03-25,-54.8,-76.9,-110.1,NA,-105,-37.7400000000001
"85",2021-03-26,-59.3,-75.3,-109.1,NA,-103.4,-37.54
"86",2021-03-27,-60.5,-78.3,-107.7,NA,-103.7,-39.8200000000001
"87",2021-03-28,-59.4,-90.4,-106.8,NA,-106.8,-38.7400000000001
"88",2021-03-29,-59,-89.5,-104.2,NA,-106.4,-36.9800000000001
"89",2021-03-30,-57.4,-90.9,-102,NA,-106.1,-35.0400000000001
"90",2021-03-31,-56.7,-94.7,-100.1,NA,-105.2,-33.5200000000001
"91",2021-04-01,-55,-97.2,-97.4,NA,-104.1,-33.1600000000001
"92",2021-04-02,-55,-96.6,-98.1,NA,-103.8,-32.1400000000001
"93",2021-04-03,-56,-95,-97.1,NA,-106.3,-29.9600000000001
"94",2021-04-04,-54.5,-96.9,-96,NA,-107.5,-29.9800000000001
"95",2021-04-05,-52.2,-99.9,-93.8,NA,-105.4,-32.74
"96",2021-04-06,-51.4,-97.1,-91.4,NA,-102.4,-32.92
