"","STUWVAK","NAAM","CODE_OVERSTORT","TYPERGD","geometry"
"40","104B_104OYE","Hertogswetering_","OSS-OSS-DOM-22",NA,"165194.818,421525.702,0"
"40.1","104B_104OYE","Hertogswetering_","OSS-HAR-KER-50","Gemengd gerioleerdgebied","168403.234000001,423198.811000001,0"
"41","104FVW_104B","Hertogswetering_","OSS-RAV-BUL-46","Verbeterd gescheiden stelsel","173243.835000001,421753.634,0"
"40.2","104B_104OYE","Hertogswetering_","OSS-OSS-MAA-23","Verbeterd gescheiden stelsel","165421.927999999,422008.971000001,0"
"40.3","104B_104OYE","Hertogswetering_","OSS-OSS-ELN-13","Verbeterd gescheiden stelsel","166573.929000001,422547.482999999,0"
"40.4","104B_104OYE","Hertogswetering_","OSS-OSS-ELZ-14","Verbeterd gescheiden stelsel","165362.772999998,421300.940000001,0"
"40.5","104B_104OYE","Hertogswetering_","OSS-OSS-ELN-12","Verbeterd gescheiden stelsel","166478.101,422207.544,0"
"41.1","104FVW_104B","Hertogswetering_","OSS-OVE-KER-44","Gemengd gerioleerdgebied","174397.984000001,421022.534000002,0"
"41.2","104FVW_104B","Hertogswetering_","OSS-HER-WIL-43","Verbeterd gescheiden stelsel","172468.096000001,420543.300999999,0"
"40.6","104B_104OYE","Hertogswetering_","OSS-MAC-KER-30","Gemengd gerioleerdgebied","166070.381999999,423965.131000001,0"
"40.7","104B_104OYE","Hertogswetering_","OSS-OSS-GEE-10","Verbeterd gescheiden stelsel","166506.881999999,421731.181000002,0"
"41.3","104FVW_104B","Hertogswetering_","OSS-HER-KER-42","Gemengd gerioleerdgebied","172460.414999999,420810.921999998,0"
