objectid,code,X,Y
112,104ZBW,167562.015000001,418023.704999998
113,253LEA,181495.881000001,391344.390000001
114,253LFH,181705.412999999,391597.039999999
115,211ADL,174906.690000001,402043.815000001
116,104LGS,174916.210999999,417476.033
117,117MRH,146803.324000001,414410.210999999
118,116BRA,146578.965,411603.682
119,217BKK,164464.077,398219.210999999
120,205LFT,154914.021000002,412446.432
121,217KDZ,160630.813000001,405852.076000001
122,211BKW,172223.378699999,401327.8794
123,211UWE,172112.434999999,401132.868999999
124,204MRS,161091.528000001,408357.749000002
125,AKW15B,194356.781,407453.750999998
126,204CHA,164633.107000001,409776.960000001
127,204FM,169518.129799999,409902.8915
128,211EA,165405.432399999,407610.561099999
129,211JC,171165.822000001,405748.945
130,211JN,171631.048,406655.070999999
131,211MJ,175756.638,402781.912000001
132,211MO,175414.511999998,402558.041000001
133,211MT,176248.877,404095.502999999
134,234CK,170762.101799998,395216.593400002
135,234CPC,170057.243999999,393675.195
136,234GH,173352.098000001,384257.129000001
137,251CMA,179592.001600001,394646.486400001
138,251N,182284.574999999,396646.940000001
139,261BAB,179369.0,389670.863000002
1,114LAC,190195.875,396712.958999999
2,217IA,166256.374000002,397535.719999999
3,205WAO,153820.2469,411770.604499999
4,205WAP,153819.297200002,411772.294799998
5,205WAQ,153818.213399999,411773.803199999
6,104CUM,167570.3541,421140.415300001
7,101HGW,154063.0913,422253.133099999
8,119GES,150848.643599998,409840.657000002
9,119OSW,150848.596299998,409842.602299999
10,119OGW,150848.548700001,409844.52
11,EKW6,197221.357099999,402968.178199999
12,108A20,182857.761,415603.374000002
13,275K,187353.708999999,376758.438000001
14,275M,188270.864999998,374342.469000001
15,279A,177017.919,381507.055
16,279G,181259.623,380079.280000001
17,279H,181900.083999999,379488.695999999
18,280SC,176757.039500002,381077.875300001
19,292B,181969.405000001,375467.861000001
20,211A,158086.576000001,408083.478999998
21,256AA,174126.445500001,393404.364700001
22,254AA,172680.625999998,395401.267999999
23,275HG,187621.388099998,379840.9881
24,261FF,182430.475000001,388639.721000001
