ORDER,WATERLOOP,STUWVAK,MIN_STUW,MAX_STUW,BOVEN_STUW,BENEDEN_STUW
1,Leijgraaf,211B_211A,211A,211B,211B,211A
2,Leijgraaf,211C_211B,211B,211C,211C,211B
3,Leijgraaf,211D_211C,211C,211D,211D,211C
4,Leijgraaf,211E_211D,211D,211E,211E,211D
5,Leijgraaf,211F_211E,211E,211F,211F,211E
6,Leijgraaf,211G_211F,211F,211G,211G,211F
7,Leijgraaf,211H_211G,211G,211H,211H,211G
8,Leijgraaf,211I_211H,211H,211I,211I,211H
9,Leijgraaf,211J_211I,211I,211J,211J,211I
10,Leijgraaf,211K_211J,211J,211K,211K,211J
11,Leijgraaf,211L_211K,211K,211L,211L,211K
12,Leijgraaf,211M_211L,211L,211M,211M,211L
13,Leijgraaf,211N_211M,211M,211N,211N,211M
14,Leijgraaf,211VEL_211N,211N,211VEL,211VEL,211N
15,Raam,108GAR_108KAM,108GAR,108KAM,108GAR,108KAM
16,Raam,108HOL_108GAR,108GAR,108HOL,108HOL,108GAR
17,Raam,108IJZ_108HOL,108HOL,108IJZ,108IJZ,108HOL
18,Raam,108WAN_108IJZ,108IJZ,108WAN,108WAN,108IJZ
19,Raam,108HUL_108WAN,108HUL,108WAN,108HUL,108WAN
20,Raam,108LAA_108HUL,108HUL,108LAA,108LAA,108HUL
21,Raam,108PAP_108LAA,108LAA,108PAP,108PAP,108LAA
22,Raam,108HOO_108PAP,108HOO,108PAP,108HOO,108PAP
23,Raam,108XS_108HOO,108HOO,108XS,108XS,108HOO
24,Strijpse Beek_,114DES_114DET,114DES,114DET,114DES,114DET
25,Strijpse Beek_,114DCS_114DES,114DCS,114DES,114DCS,114DES
26,Strijpse Beek_,114CZS_114DCS,114CZS,114DCS,114CZS,114DCS
27,Strijpse Beek_,114DDS_114CZS,114CZS,114DDS,114DDS,114CZS
28,Strijpse Beek_,114CMS_114DDS,114CMS,114DDS,114CMS,114DDS
29,Strijpse Beek_,114CKS_114CMS,114CKS,114CMS,114CKS,114CMS
30,Strijpse Beek_,114CHS_114CKS,114CHS,114CKS,114CHS,114CKS
31,Osse Aanvoersloot,103BIB_103BIC,103BIB,103BIC,103BIB,103BIC
32,Osse Aanvoersloot,103BIC_103GEW,103BIC,103GEW,103BIC,103GEW
33,Osse Aanvoersloot,103GEW_103DT1,103DT1,103GEW,103GEW,103DT1
34,Osse Aanvoersloot,103DT1_103KAS,103DT1,103KAS,103DT1,103KAS
35,Hertogswetering_,104B_104OYE,104B,104OYE,104B,104OYE
36,Hertogswetering_,104FVW_104B,104B,104FVW,104FVW,104B
37,Hertogswetering_,104FKW_104FVW,104FKW,104FVW,104FKW,104FVW
38,Hertogswetering_,104FCW_104FKW,104FCW,104FKW,104FCW,104FKW
39,Peelse Loop_,248KA_248K,248K,248KA,248KA,248K
40,Peelse Loop_,251JE_248KA,248KA,251JE,251JE,248KA
41,Peelse Loop_,251JF_251JE,251JE,251JF,251JF,251JE
42,Peelse Loop_,251N_251JF,251JF,251N,251N,251JF
43,Peelse Loop_,251NC_251N,251N,251NC,251NC,251NC
44,Peelse Loop_,251O_251NC,251NC,251O,251O,251NC
45,Peelse Loop_,251T_251Q,251Q,251T,251T,251Q
46,Peelse Loop_,251U_251T,251T,251U,251U,251T
